;COD_CLI;DATA_COMPRA;DT_ENTREGA;PRODUTO;VALOR_FATURADO;LOCAL
594;5921.0;1995-01-05;1995-01-05;NVHH4;2581.93;50.0
603;5885.0;1995-01-11;1995-01-11;WWAP4;1939.6;39.0
604;4576.0;1995-01-12;1995-01-12;QAFD2;327.77;49.0
618;11489.0;1995-01-22;1995-01-22;QAFD0;353.53;40.0
619;10827.0;1995-01-22;1995-01-22;OKTT0;1229.77;14.0
620;6378.0;1995-01-26;1995-01-26;WDFE3;4618.05;29.0
621;8358.0;1995-01-26;1995-01-26;WDFE3;3228.99;48.0
625;7339.0;1995-01-30;1995-01-30;QAFD2;696.31;26.0
630;5457.0;1995-02-01;1995-02-01;QAFD0;1914.81;33.0
638;9054.0;1995-02-07;1995-02-07;LMFF0;681.96;1.0
645;10465.0;1995-02-10;1995-02-10;NVHH4;2369.31;17.0
646;8979.0;1995-02-11;1995-02-11;XDFF3;1165.96;33.0
649;11728.0;1995-02-15;1995-02-15;NVHH1;1444.47;48.0
650;8434.0;1995-02-16;1995-02-16;XDFF2;1169.14;49.0
651;11651.0;1995-02-17;1995-02-17;OKTT0;1182.4;16.0
654;8270.0;1995-02-18;1995-02-18;QAFD1;3489.01;20.0
663;6236.0;1995-03-01;1995-03-01;WDFE1;4540.84;37.0
667;6163.0;1995-03-03;1995-03-03;LMFF3;2599.09;13.0
669;7306.0;1995-03-04;1995-03-04;NVHH3;294.73;25.0
671;9764.0;1995-03-06;1995-03-06;QAFD4;4095.93;7.0
672;8360.0;1995-03-06;1995-03-06;OKTT0;2343.5;30.0
674;6545.0;1995-03-07;1995-03-07;LMFF3;1497.46;37.0
678;5399.0;1995-03-09;1995-03-09;WDFE3;107.9;36.0
679;6269.0;1995-03-09;1995-03-09;LMFF0;2357.74;42.0
680;7285.0;1995-03-09;1995-03-09;WWAP4;638.41;23.0
684;5458.0;1995-03-14;1995-03-14;NVHH3;1312.16;47.0
685;9635.0;1995-03-14;1995-03-14;QAFD3;4426.42;44.0
686;11173.0;1995-03-14;1995-03-14;LMFF1;3658.39;20.0
687;967.0;1995-03-16;1995-03-16;WDFE3;252.29;42.0
693;5009.0;1995-03-17;1995-03-17;LMFF1;1170.49;6.0
696;5606.0;1995-03-18;1995-03-18;NVHH3;4641.37;8.0
712;142.0;1995-03-28;1995-03-28;WWAP4;184.35;45.0
713;5959.0;1995-03-28;1995-03-28;QAFD3;3749.01;0.0
719;528.0;1995-04-06;1995-04-06;LMFF2;542.15;35.0
720;73.0;1995-04-08;1995-04-08;WDFE3;3633.44;18.0
722;5726.0;1995-04-08;1995-04-08;QAFD1;3787.94;29.0
724;8548.0;1995-04-09;1995-04-09;OKTT0;1343.15;18.0
727;8586.0;1995-04-11;1995-04-11;QAFD0;2597.92;13.0
733;8690.0;1995-04-15;1995-04-15;XDFF1;4465.3;16.0
735;1077.0;1995-04-17;1995-04-17;LMFF3;4202.69;32.0
738;5009.0;1995-04-21;1995-04-21;WDFE3;1462.06;23.0
753;4949.0;1995-05-01;1995-05-01;WWAP4;3831.91;37.0
755;819.0;1995-05-03;1995-05-03;WDFE3;3404.32;26.0
757;7115.0;1995-05-06;1995-05-06;QAFD1;4738.94;48.0
762;9309.0;1995-05-08;1995-05-08;LMFF4;146.84;9.0
776;8605.0;1995-05-21;1995-05-21;WWAP4;3840.38;3.0
780;5009.0;1995-05-26;1995-05-26;OKTT0;3518.76;47.0
785;5197.0;1995-05-29;1995-05-29;LMFF1;3005.75;2.0
789;6067.0;1995-06-01;1995-06-01;QAFD3;2669.75;42.0
801;5189.0;1995-06-06;1995-06-06;QAFD4;82.27;27.0
808;8710.0;1995-06-11;1995-06-11;WDFE3;4136.36;20.0
810;5483.0;1995-06-13;1995-06-13;OKTT0;3674.96;38.0
815;602.0;1995-06-17;1995-06-17;LMFF3;3347.53;11.0
818;9913.0;1995-06-20;1995-06-20;WWAP4;2835.15;23.0
823;5544.0;1995-06-26;1995-06-26;QAFD1;4174.74;2.0
825;713.0;1995-06-27;1995-06-27;QAFD1;3061.73;19.0
826;8594.0;1995-06-28;1995-06-28;QAFD3;3301.81;4.0
828;407.0;1995-06-30;1995-06-30;QAFD0;4597.16;48.0
837;4481.0;1995-07-06;1995-07-06;LMFF1;2842.04;42.0
840;4320.0;1995-07-08;1995-07-08;LMFF2;2068.39;50.0
842;6221.0;1995-07-09;1995-07-09;NVHH1;1576.13;24.0
843;4930.0;1995-07-10;1995-07-10;OKTT0;746.04;23.0
848;10926.0;1995-07-14;1995-07-14;WDFE1;827.21;8.0
856;4595.0;1995-07-17;1995-07-17;LMFF0;1271.42;12.0
857;11407.0;1995-07-17;1995-07-17;WDFE3;271.23;9.0
859;5943.0;1995-07-20;1995-07-20;XDFF1;52.86;50.0
863;8629.0;1995-07-22;1995-07-22;XDFF3;2871.17;50.0
865;11380.0;1995-07-22;1995-07-22;WWAP4;4387.45;11.0
867;10254.0;1995-07-24;1995-07-24;LMFF0;655.76;43.0
879;8739.0;1995-08-05;1995-08-05;QAFD3;1829.97;31.0
880;5554.0;1995-08-07;1995-08-07;LMFF4;4850.32;18.0
884;8876.0;1995-08-11;1995-08-11;QAFD3;220.98;7.0
885;5009.0;1995-08-12;1995-08-12;WWAP4;109.13;12.0
889;6225.0;1995-08-17;1995-08-17;QAFD0;3714.18;21.0
891;9354.0;1995-08-17;1995-08-17;NVHH3;848.02;18.0
892;6167.0;1995-08-18;1995-08-18;XDFF2;1493.18;49.0
899;9154.0;1995-08-21;1995-08-21;QAFD2;2081.33;16.0
902;4899.0;1995-08-23;1995-08-23;XDFF2;2886.72;42.0
909;8808.0;1995-08-25;1995-08-25;WDFE3;3136.14;25.0
917;11093.0;1995-08-30;1995-08-30;WWAP4;3828.18;5.0
918;11683.0;1995-08-30;1995-08-30;XDFF3;2232.99;24.0
919;2798.0;1995-08-31;1995-08-31;NVHH4;905.43;27.0
921;6071.0;1995-09-01;1995-09-01;WWAP4;2132.41;49.0
922;6388.0;1995-09-01;1995-09-01;QAFD1;4779.75;14.0
928;8578.0;1995-09-05;1995-09-05;XDFF3;651.62;14.0
930;4576.0;1995-09-06;1995-09-06;QAFD3;1406.59;10.0
935;951.0;1995-09-14;1995-09-14;LMFF1;3873.74;17.0
937;5930.0;1995-09-17;1995-09-17;XDFF0;2130.04;21.0
940;9362.0;1995-09-17;1995-09-17;NVHH1;2390.53;38.0
943;343.0;1995-09-20;1995-09-20;LMFF4;4997.58;42.0
944;5009.0;1995-09-20;1995-09-20;NVHH1;2550.66;29.0
950;5152.0;1995-09-22;1995-09-22;WWAP4;2745.95;26.0
955;5209.0;1995-09-27;1995-09-27;WDFE1;955.09;32.0
962;2773.0;1995-10-04;1995-10-04;QAFD1;3959.21;36.0
973;6463.0;1995-10-12;1995-10-12;LMFF4;2662.53;1.0
975;11436.0;1995-10-12;1995-10-12;XDFF2;2657.6;0.0
976;5705.0;1995-10-13;1995-10-13;WDFE3;3318.45;7.0
978;349.0;1995-10-14;1995-10-14;OKTT0;4965.48;3.0
986;11855.0;1995-10-20;1995-10-20;XDFF4;4377.98;32.0
989;4772.0;1995-10-21;1995-10-21;OKTT0;4926.28;36.0
991;6226.0;1995-10-22;1995-10-22;NVHH3;1871.66;37.0
995;4954.0;1995-10-23;1995-10-23;XDFF1;2101.78;20.0
999;4598.0;1995-10-25;1995-10-25;XDFF0;434.52;1.0
1002;9923.0;1995-10-26;1995-10-26;WDFE1;1124.37;3.0
1004;11487.0;1995-10-27;1995-10-27;NVHH3;4688.94;4.0
1005;3.0;1995-10-28;1995-10-28;LMFF2;2451.67;1.0
1007;4760.0;1995-10-29;1995-10-29;QAFD0;2286.0;49.0
1009;8584.0;1995-10-31;1995-10-31;NVHH3;773.4;6.0
1011;10146.0;1995-10-31;1995-10-31;WDFE1;529.9;27.0
1016;5136.0;1995-11-03;1995-11-03;NVHH4;1603.95;24.0
1022;4537.0;1995-11-05;1995-11-05;LMFF2;1320.9;15.0
1027;4172.0;1995-11-10;1995-11-10;XDFF2;1941.47;2.0
1032;6525.0;1995-11-14;1995-11-14;NVHH3;2484.4;18.0
1035;11584.0;1995-11-16;1995-11-16;XDFF1;2128.98;25.0
1037;11633.0;1995-11-18;1995-11-18;LMFF0;1403.13;13.0
1044;4887.0;1995-11-26;1995-11-26;XDFF3;925.34;1.0
1045;10184.0;1995-11-26;1995-11-26;LMFF1;4647.13;29.0
1048;9237.0;1995-11-28;1995-11-28;WDFE1;1293.31;21.0
1049;840.0;1995-12-01;1995-12-01;XDFF3;4883.33;8.0
1055;9919.0;1995-12-06;1995-12-06;LMFF2;80.89;0.0
1066;5880.0;1995-12-11;1995-12-11;XDFF1;765.21;17.0
1068;5798.0;1995-12-17;1995-12-17;WDFE3;4898.39;23.0
1075;5707.0;1995-12-20;1995-12-20;QAFD3;4443.49;35.0
1076;5167.0;1995-12-20;1995-12-20;WDFE1;4251.11;1.0
1081;6011.0;1995-12-23;1995-12-23;LMFF4;3045.2;2.0
1085;1165.0;1995-12-29;1995-12-29;NVHH3;4833.34;2.0
1094;5736.0;1996-01-07;1996-01-07;NVHH4;834.62;26.0
1095;5795.0;1996-01-09;1996-01-09;WWAP4;3572.92;17.0
1096;9750.0;1996-01-10;1996-01-10;NVHH4;4114.2;21.0
1100;11632.0;1996-01-12;1996-01-12;QAFD1;3193.75;28.0
1103;6144.0;1996-01-14;1996-01-14;NVHH3;3715.46;11.0
1105;5167.0;1996-01-14;1996-01-14;QAFD1;1724.18;41.0
1108;6468.0;1996-01-16;1996-01-16;LMFF0;3810.93;39.0
1110;8796.0;1996-01-18;1996-01-18;NVHH1;1909.08;14.0
1117;6251.0;1996-01-22;1996-01-22;QAFD1;3302.18;32.0
1129;11766.0;1996-02-01;1996-02-01;OKTT0;3351.83;10.0
1130;6208.0;1996-02-02;1996-02-02;QAFD1;1254.99;48.0
1132;11686.0;1996-02-03;1996-02-03;WDFE3;3580.9;2.0
1141;11415.0;1996-02-09;1996-02-09;QAFD4;583.11;29.0
1142;1025.0;1996-02-11;1996-02-11;XDFF3;4996.53;17.0
1143;5199.0;1996-02-11;1996-02-11;NVHH4;2680.11;25.0
1146;6340.0;1996-02-12;1996-02-12;OKTT0;4860.55;28.0
1159;6144.0;1996-02-18;1996-02-18;QAFD4;55.94;38.0
1161;5725.0;1996-02-20;1996-02-20;NVHH3;2558.21;37.0
1162;4548.0;1996-02-21;1996-02-21;QAFD2;1088.09;23.0
1163;11818.0;1996-02-21;1996-02-21;NVHH3;29.08;12.0
1164;6534.0;1996-02-22;1996-02-22;WWAP4;2564.24;44.0
1166;6148.0;1996-02-24;1996-02-24;QAFD3;4081.95;1.0
1171;11394.0;1996-02-26;1996-02-26;QAFD0;2228.28;47.0
1174;5550.0;1996-02-27;1996-02-27;WDFE3;1826.41;11.0
1180;11686.0;1996-03-02;1996-03-02;NVHH1;4684.27;44.0
1181;11847.0;1996-03-03;1996-03-03;XDFF3;3311.25;5.0
1182;10526.0;1996-03-03;1996-03-03;QAFD2;2320.11;37.0
1193;4665.0;1996-03-10;1996-03-10;OKTT0;3986.23;0.0
1195;6465.0;1996-03-12;1996-03-12;WWAP4;2718.0;49.0
1198;6300.0;1996-03-17;1996-03-17;LMFF4;944.12;39.0
1201;1224.0;1996-03-18;1996-03-18;OKTT0;2024.55;7.0
1207;8786.0;1996-03-22;1996-03-22;QAFD3;2089.13;5.0
1214;4878.0;1996-03-28;1996-03-28;NVHH1;1477.39;44.0
1227;5264.0;1996-04-07;1996-04-07;WDFE1;250.21;42.0
1229;4772.0;1996-04-10;1996-04-10;QAFD4;2471.81;10.0
1233;482.0;1996-04-12;1996-04-12;XDFF1;3114.73;35.0
1238;6485.0;1996-04-15;1996-04-15;OKTT0;4506.93;27.0
1243;5009.0;1996-04-18;1996-04-18;LMFF4;863.21;45.0
1257;5975.0;1996-04-27;1996-04-27;QAFD0;3727.11;12.0
1260;10743.0;1996-04-29;1996-04-29;LMFF4;797.9;17.0
1266;11776.0;1996-04-30;1996-04-30;QAFD1;3609.52;48.0
1271;6137.0;1996-05-09;1996-05-09;QAFD3;2027.39;4.0
1272;8455.0;1996-05-10;1996-05-10;NVHH4;4551.78;13.0
1273;9274.0;1996-05-12;1996-05-12;XDFF4;3316.49;8.0
1289;4999.0;1996-05-19;1996-05-19;WDFE1;4395.6;0.0
1291;11637.0;1996-05-20;1996-05-20;WDFE3;1573.2;43.0
1299;2755.0;1996-05-28;1996-05-28;NVHH3;1626.07;41.0
1300;7171.0;1996-05-28;1996-05-28;XDFF2;2100.76;15.0
1302;939.0;1996-05-30;1996-05-30;QAFD3;78.65;8.0
1311;5692.0;1996-06-04;1996-06-04;LMFF2;4177.46;48.0
1315;5862.0;1996-06-07;1996-06-07;XDFF0;1611.84;4.0
1316;10078.0;1996-06-07;1996-06-07;XDFF4;1961.36;34.0
1319;4772.0;1996-06-08;1996-06-08;LMFF4;2143.73;29.0
1320;5862.0;1996-06-09;1996-06-09;WDFE3;3908.7;35.0
1327;8862.0;1996-06-15;1996-06-15;QAFD3;4761.42;44.0
1328;11245.0;1996-06-15;1996-06-15;OKTT0;1169.11;22.0
1330;7312.0;1996-06-17;1996-06-17;NVHH4;3577.95;28.0
1331;6313.0;1996-06-19;1996-06-19;XDFF1;4023.37;13.0
1332;4525.0;1996-06-20;1996-06-20;XDFF4;815.61;21.0
1341;11026.0;1996-06-24;1996-06-24;XDFF1;2881.13;24.0
1350;5128.0;1996-06-30;1996-06-30;LMFF3;3111.72;32.0
1355;5270.0;1996-07-02;1996-07-02;LMFF4;4715.71;22.0
1357;11762.0;1996-07-03;1996-07-03;NVHH1;1856.23;2.0
1364;11892.0;1996-07-07;1996-07-07;QAFD4;2411.38;38.0
1370;5201.0;1996-07-17;1996-07-17;LMFF3;552.57;45.0
1372;11902.0;1996-07-18;1996-07-18;WDFE3;4029.27;13.0
1378;9795.0;1996-07-23;1996-07-23;WDFE1;1134.02;14.0
1398;6271.0;1996-08-04;1996-08-04;WWAP4;1660.78;23.0
1399;5537.0;1996-08-04;1996-08-04;XDFF0;2177.82;36.0
1404;6557.0;1996-08-08;1996-08-08;QAFD4;1562.48;19.0
1409;5491.0;1996-08-11;1996-08-11;WDFE3;4312.28;8.0
1410;8645.0;1996-08-12;1996-08-12;WWAP4;4199.57;26.0
1417;11317.0;1996-08-21;1996-08-21;WDFE3;3564.91;35.0
1418;6501.0;1996-08-23;1996-08-23;QAFD4;2928.68;49.0
1423;4881.0;1996-08-26;1996-08-26;NVHH4;1639.74;50.0
1424;6142.0;1996-08-26;1996-08-26;WDFE3;1704.93;7.0
1426;6269.0;1996-08-26;1996-08-26;OKTT0;953.24;13.0
1428;10657.0;1996-08-27;1996-08-27;QAFD4;2988.83;42.0
1430;6191.0;1996-08-28;1996-08-28;XDFF4;271.74;40.0
1432;5458.0;1996-08-30;1996-08-30;XDFF0;2083.34;21.0
1438;1083.0;1996-09-05;1996-09-05;NVHH3;2781.39;20.0
1448;6491.0;1996-09-13;1996-09-13;OKTT0;4554.49;29.0
1449;7304.0;1996-09-13;1996-09-13;NVHH4;1166.03;33.0
1456;4089.0;1996-09-17;1996-09-17;XDFF2;3975.84;37.0
1457;5797.0;1996-09-17;1996-09-17;QAFD0;4535.34;9.0
1461;10350.0;1996-09-18;1996-09-18;OKTT0;1389.54;44.0
1466;4772.0;1996-09-21;1996-09-21;QAFD2;69.13;2.0
1472;1143.0;1996-09-27;1996-09-27;NVHH3;4306.38;35.0
1475;8491.0;1996-09-28;1996-09-28;XDFF0;2859.05;38.0
1486;11842.0;1996-10-09;1996-10-09;QAFD3;1445.03;28.0
1494;9190.0;1996-10-14;1996-10-14;LMFF4;4948.14;29.0
1495;5801.0;1996-10-15;1996-10-15;XDFF4;2468.49;8.0
1507;5975.0;1996-10-27;1996-10-27;QAFD3;1981.89;5.0
1510;6231.0;1996-10-29;1996-10-29;QAFD4;307.27;38.0
1514;5976.0;1996-11-01;1996-11-01;XDFF2;1210.5;2.0
1516;11607.0;1996-11-03;1996-11-03;NVHH1;4232.49;26.0
1518;16.0;1996-11-04;1996-11-04;QAFD1;4098.96;44.0
1519;4571.0;1996-11-04;1996-11-04;XDFF2;3693.06;34.0
1523;6101.0;1996-11-08;1996-11-08;WDFE1;471.1;30.0
1526;4214.0;1996-11-11;1996-11-11;QAFD3;894.21;40.0
1534;5915.0;1996-11-16;1996-11-16;NVHH4;2195.06;39.0
1537;4531.0;1996-11-18;1996-11-18;LMFF0;4551.74;20.0
1540;5626.0;1996-11-19;1996-11-19;OKTT0;2612.4;48.0
1542;4726.0;1996-11-21;1996-11-21;WDFE1;4051.3;46.0
1547;4194.0;1996-11-25;1996-11-25;OKTT0;4993.52;19.0
1550;2989.0;1996-11-26;1996-11-26;LMFF1;1929.84;47.0
1562;633.0;1996-12-02;1996-12-02;XDFF1;4649.92;50.0
1566;5826.0;1996-12-06;1996-12-06;LMFF1;3731.77;36.0
1588;11658.0;1996-12-16;1996-12-16;XDFF2;4079.79;25.0
1591;8662.0;1996-12-17;1996-12-17;WDFE3;2795.81;22.0
1600;4608.0;1996-12-24;1996-12-24;WWAP4;2083.93;18.0
1603;6533.0;1996-12-28;1996-12-28;WWAP4;3364.19;43.0
1606;6251.0;1996-12-29;1996-12-29;LMFF4;1240.8;22.0
1609;6419.0;1996-12-31;1996-12-31;NVHH1;1522.46;48.0
1610;9945.0;1996-12-31;1996-12-31;WDFE3;597.97;39.0
1615;6228.0;1997-01-06;1997-01-06;LMFF2;1940.79;15.0
1617;5188.0;1997-01-08;1997-01-08;QAFD3;1165.98;44.0
1626;4962.0;1997-01-17;1997-01-17;NVHH3;3075.34;30.0
1627;7339.0;1997-01-17;1997-01-17;WDFE3;1739.0;14.0
1639;506.0;1997-01-24;1997-01-24;LMFF4;3312.75;40.0
1641;11139.0;1997-01-25;1997-01-25;NVHH1;1505.54;34.0
1644;8633.0;1997-01-28;1997-01-28;WDFE1;1885.13;43.0
1647;8672.0;1997-01-31;1997-01-31;WWAP4;4413.08;50.0
